,SYMBOL,SERIES,DATE1,PREV_CLOSE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,Change,pchange
1,21STCENMGM,EQ,11/21/2023,20.9,21.3,21.3,21.3,21.3,0.40000000000000213,1.88
2,360ONE,EQ,11/21/2023,546.6,557.05,546.05,551.8,550.95,4.350000000000023,0.79
3,3IINFOLTD,EQ,11/21/2023,40.2,41.9,38.95,41.65,41.4,1.1999999999999957,2.9
4,3MINDIA,EQ,11/21/2023,30729.6,31231.0,30647.9,30875.0,30957.2,227.60000000000218,0.74
5,3PLAND,EQ,11/21/2023,28.85,30.25,28.5,30.0,29.65,0.7999999999999972,2.7
9,5PAISA,EQ,11/21/2023,449.95,453.8,442.55,450.0,446.7,-3.25,-0.73
12,63MOONS,EQ,11/21/2023,365.7,383.95,375.0,383.95,383.95,18.25,4.75
47,AAATECH,EQ,11/21/2023,78.65,80.5,78.55,79.0,78.8,0.14999999999999147,0.19
48,AAKASH,EQ,11/21/2023,7.05,7.2,6.95,7.05,7.1,0.04999999999999982,0.7
50,AARON,EQ,11/21/2023,262.5,265.0,258.05,260.0,259.15,-3.3500000000000227,-1.29
52,AARTIDRUGS,EQ,11/21/2023,475.35,481.0,468.7,473.0,472.35,-3.0,-0.64
53,AARTIIND,EQ,11/21/2023,517.1,525.45,518.2,521.2,521.1,4.0,0.77
54,AARTIPHARM,EQ,11/21/2023,405.1,410.0,394.0,402.0,397.2,-7.900000000000034,-1.99
56,AARTISURF,EQ,11/21/2023,622.0,637.5,623.0,634.9,629.45,7.4500000000000455,1.18
58,AARVEEDEN,EQ,11/21/2023,23.7,24.25,23.6,23.9,23.95,0.25,1.04
59,AARVI,EQ,11/21/2023,118.9,122.35,119.6,121.45,121.1,2.1999999999999886,1.82
61,AAVAS,EQ,11/21/2023,1503.35,1540.05,1471.25,1520.0,1525.95,22.600000000000136,1.48
63,ABB,EQ,11/21/2023,4347.0,4429.9,4335.05,4344.85,4345.3,-1.699999999999818,-0.04
64,ABBOTINDIA,EQ,11/21/2023,23975.8,24173.2,23811.2,23901.0,23950.6,-25.200000000000728,-0.11
65,ABCAPITAL,EQ,11/21/2023,171.15,173.0,170.95,172.0,171.65,0.5,0.29
66,ABFRL,EQ,11/21/2023,214.4,217.0,213.2,214.0,213.55,-0.8499999999999943,-0.4
69,ABSLAMC,EQ,11/21/2023,451.65,454.0,447.5,448.5,448.8,-2.849999999999966,-0.64
70,ABSLBANETF,EQ,11/21/2023,43.9,44.5,43.3,44.13,44.1,0.20000000000000284,0.45
71,ABSLLIQUID,EQ,11/21/2023,999.99,999.99,999.99,999.99,999.99,0.0,0.0
72,ABSLNN50ET,EQ,11/21/2023,48.05,48.29,48.05,48.29,48.1,0.05000000000000426,0.1
73,ACC,EQ,11/21/2023,1828.45,1849.9,1830.0,1841.0,1839.55,11.099999999999909,0.6
74,ACCELYA,EQ,11/21/2023,1409.35,1429.0,1400.0,1400.0,1402.4,-6.949999999999818,-0.5
76,ACE,EQ,11/21/2023,849.3,865.75,830.1,835.4,833.8,-15.5,-1.86
77,ACEINTEG,EQ,11/21/2023,33.95,34.65,33.6,34.15,34.1,0.14999999999999858,0.44
78,ACI,EQ,11/21/2023,524.95,528.9,520.0,526.2,525.05,0.09999999999990905,0.02
79,ACL,EQ,11/21/2023,94.15,96.25,92.85,93.9,93.75,-0.4000000000000057,-0.43
81,ADANIENSOL,EQ,11/21/2023,727.5,744.95,728.8,731.8,731.8,4.2999999999999545,0.59
82,ADANIENT,EQ,11/21/2023,2149.85,2232.55,2158.35,2197.6,2196.65,46.80000000000018,2.13
83,ADANIGREEN,EQ,11/21/2023,926.2,936.85,920.0,922.0,926.6,0.39999999999997726,0.04
84,ADANIPORTS,EQ,11/21/2023,803.6,814.9,799.3,801.0,801.35,-2.25,-0.28
85,ADANIPOWER,EQ,11/21/2023,389.95,396.65,390.2,391.15,392.5,2.5500000000000114,0.65
86,ADFFOODS,EQ,11/21/2023,214.65,218.15,213.0,213.75,214.6,-0.05000000000001137,-0.02
88,ADORWELD,EQ,11/21/2023,1537.95,1570.0,1522.2,1558.0,1564.45,26.5,1.69
90,ADSL,EQ,11/21/2023,126.05,127.8,122.95,124.25,123.75,-2.299999999999997,-1.86
91,ADVANIHOTR,EQ,11/21/2023,106.55,109.9,107.15,108.0,108.35,1.7999999999999972,1.66
92,ADVENZYMES,EQ,11/21/2023,320.15,324.45,313.3,316.0,315.45,-4.699999999999989,-1.49
93,AEGISCHEM,EQ,11/21/2023,316.15,317.2,312.15,313.0,312.95,-3.1999999999999886,-1.02
94,AEROFLEX,EQ,11/21/2023,156.9,161.4,156.9,158.0,157.85,0.9499999999999886,0.6
95,AETHER,EQ,11/21/2023,882.65,894.9,871.0,873.0,875.4,-7.25,-0.83
96,AFFLE,EQ,11/21/2023,1041.2,1066.0,1042.0,1055.4,1055.35,14.149999999999864,1.34
97,AGARIND,EQ,11/21/2023,954.85,965.3,934.65,936.3,936.4,-18.450000000000045,-1.97
99,AGI,EQ,11/21/2023,1017.25,1032.9,991.8,1000.0,995.4,-21.850000000000023,-2.2
101,AGRITECH,EQ,11/21/2023,217.95,261.5,239.0,242.0,245.9,27.950000000000017,11.37
102,AGROPHOS,EQ,11/21/2023,36.45,38.9,35.95,37.85,37.95,1.5,3.95
103,AGSTRA,EQ,11/21/2023,89.0,94.6,87.65,91.8,91.85,2.8499999999999943,3.1
105,AHL,EQ,11/21/2023,331.95,333.4,325.0,329.9,330.55,-1.3999999999999773,-0.42
106,AHLADA,EQ,11/21/2023,119.25,127.0,119.6,122.0,121.9,2.6500000000000057,2.17
107,AHLEAST,EQ,11/21/2023,132.55,133.9,131.0,131.0,131.7,-0.8500000000000227,-0.65
108,AHLUCONT,EQ,11/21/2023,803.2,812.0,784.75,798.05,803.0,-0.20000000000004547,-0.02
109,AIAENG,EQ,11/21/2023,3484.35,3498.6,3440.0,3440.15,3454.6,-29.75,-0.86
112,AIROLAM,EQ,11/21/2023,137.8,143.8,136.5,137.8,138.2,0.39999999999997726,0.29
115,AJANTPHARM,EQ,11/21/2023,1971.65,1980.0,1951.05,1967.0,1969.15,-2.5,-0.13
116,AJMERA,EQ,11/21/2023,410.45,443.9,410.2,433.0,434.05,23.600000000000023,5.44
117,AJOONI,EQ,11/21/2023,4.8,4.8,4.7,4.75,4.7,-0.09999999999999964,-2.13
118,AKASH,EQ,11/21/2023,29.8,30.5,29.65,30.45,30.15,0.34999999999999787,1.16
119,AKG,EQ,11/21/2023,23.65,26.0,23.6,26.0,25.95,2.3000000000000007,8.86
121,AKSHAR,EQ,11/21/2023,6.7,7.0,6.95,7.0,7.0,0.2999999999999998,4.29
122,AKSHARCHEM,EQ,11/21/2023,251.3,256.8,248.0,248.55,248.8,-2.5,-1.0
124,AKZOINDIA,EQ,11/21/2023,2460.45,2515.75,2451.05,2503.8,2498.3,37.850000000000364,1.52
125,ALANKIT,EQ,11/21/2023,14.4,15.1,14.25,15.1,15.1,0.6999999999999993,4.64
126,ALBERTDAVD,EQ,11/21/2023,930.75,949.7,928.3,940.1,944.2,13.450000000000045,1.42
127,ALEMBICLTD,EQ,11/21/2023,80.25,82.8,80.45,82.0,81.9,1.6500000000000057,2.01
128,ALICON,EQ,11/21/2023,841.6,854.8,830.8,836.0,832.4,-9.200000000000045,-1.11
129,ALKALI,EQ,11/21/2023,125.1,136.95,126.25,133.35,133.6,8.5,6.36
130,ALKEM,EQ,11/21/2023,4390.55,4500.0,4401.05,4498.15,4488.3,97.75,2.18
131,ALKYLAMINE,EQ,11/21/2023,2131.45,2147.0,2120.0,2127.0,2130.0,-1.449999999999818,-0.07
132,ALLCARGO,EQ,11/21/2023,279.1,281.75,275.0,276.6,277.1,-2.0,-0.72
134,ALLSEC,EQ,11/21/2023,658.75,665.5,656.9,660.1,659.35,0.6000000000000227,0.09
135,ALMONDZ,EQ,11/21/2023,86.25,87.1,85.05,86.85,86.85,0.5999999999999943,0.69
136,ALOKINDS,EQ,11/21/2023,21.1,21.45,20.45,20.6,20.6,-0.5,-2.43
137,ALPA,EQ,11/21/2023,96.25,97.9,95.15,96.25,96.2,-0.04999999999999716,-0.05
138,ALPHAETF,EQ,11/21/2023,18.47,18.89,18.38,18.47,18.45,-0.019999999999999574,-0.11
139,ALPHAGEO,EQ,11/21/2023,277.55,282.95,275.5,278.1,279.5,1.9499999999999886,0.7
140,ALPSINDUS,EQ,11/21/2023,2.1,2.1,2.05,2.1,2.1,0.0,0.0
142,AMBER,EQ,11/21/2023,3385.3,3436.0,3243.35,3285.0,3292.7,-92.60000000000036,-2.81
144,AMBIKCO,EQ,11/21/2023,1583.0,1612.5,1563.0,1573.0,1568.2,-14.799999999999955,-0.94
145,AMBUJACEM,EQ,11/21/2023,421.5,424.3,419.1,420.0,420.15,-1.3500000000000227,-0.32
146,AMDIND,EQ,11/21/2023,80.9,84.9,79.25,84.9,84.9,4.0,4.71
148,AMIORG,EQ,11/21/2023,1076.9,1090.0,1071.65,1080.6,1078.8,1.8999999999998636,0.18
149,AMJLAND,EQ,11/21/2023,40.2,41.05,38.4,39.85,39.05,-1.1500000000000057,-2.94
150,AMNPLST,EQ,11/21/2023,156.35,157.45,155.15,155.45,155.7,-0.6500000000000057,-0.42
151,AMRUTANJAN,EQ,11/21/2023,610.45,628.8,605.05,610.0,609.4,-1.0500000000000682,-0.17
152,ANANDRATHI,EQ,11/21/2023,2346.3,2376.75,2201.2,2278.2,2286.05,-60.25,-2.64
153,ANANTRAJ,EQ,11/21/2023,254.0,256.1,248.85,253.1,253.35,-0.6500000000000057,-0.26
154,ANDHRAPAP,EQ,11/21/2023,571.0,576.7,565.05,571.0,569.15,-1.8500000000000227,-0.33
155,ANDHRSUGAR,EQ,11/21/2023,110.15,110.95,108.4,108.5,108.85,-1.3000000000000114,-1.19
156,ANGELONE,EQ,11/21/2023,2996.1,3032.15,2921.35,2950.0,2952.2,-43.90000000000009,-1.49
157,ANIKINDS,EQ,11/21/2023,54.35,56.75,51.65,51.65,51.65,-2.700000000000003,-5.23
160,ANMOL,EQ,11/21/2023,58.35,59.15,57.5,58.7,58.5,0.14999999999999858,0.26
162,ANTGRAPHIC,EQ,11/21/2023,0.85,0.9,0.85,0.9,0.9,0.050000000000000044,5.56
163,ANUP,EQ,11/21/2023,2754.7,2951.05,2779.0,2900.0,2889.05,134.35000000000036,4.65
164,ANURAS,EQ,11/21/2023,932.25,939.0,928.45,936.0,935.8,3.5499999999999545,0.38
165,APARINDS,EQ,11/21/2023,5871.75,5974.4,5719.05,5806.5,5790.65,-81.10000000000036,-1.4
166,APCL,EQ,11/21/2023,214.0,216.25,211.0,211.6,212.2,-1.8000000000000114,-0.85
167,APCOTEXIND,EQ,11/21/2023,552.05,562.55,540.0,541.95,543.0,-9.049999999999955,-1.67
168,APEX,EQ,11/21/2023,210.0,224.0,210.0,216.85,216.65,6.650000000000006,3.07
169,APLAPOLLO,EQ,11/21/2023,1683.75,1690.0,1640.15,1651.3,1649.45,-34.299999999999955,-2.08
170,APLLTD,EQ,11/21/2023,749.25,752.4,735.8,742.5,743.25,-6.0,-0.81
171,APOLLO,EQ,11/21/2023,146.3,140.0,139.0,139.0,139.0,-7.300000000000011,-5.25
172,APOLLOHOSP,EQ,11/21/2023,5473.95,5520.3,5422.4,5457.6,5466.8,-7.149999999999636,-0.13
173,APOLLOPIPE,EQ,11/21/2023,680.6,685.4,674.9,677.9,678.75,-1.8500000000000227,-0.27
174,APOLLOTYRE,EQ,11/21/2023,425.85,428.6,423.75,424.0,424.6,-1.25,-0.29
175,APOLSINHOT,EQ,11/21/2023,1612.95,1719.0,1615.05,1719.0,1702.2,89.25,5.24
176,APTECHT,EQ,11/21/2023,260.65,264.7,249.0,250.1,249.55,-11.099999999999966,-4.45
177,APTUS,EQ,11/21/2023,291.3,298.0,288.75,290.0,290.3,-1.0,-0.34
180,ARCHIES,EQ,11/21/2023,24.75,25.15,24.2,24.2,24.3,-0.4499999999999993,-1.85
181,ARE&M,EQ,11/21/2023,640.75,658.8,641.0,654.9,655.05,14.299999999999955,2.18
184,ARIES,EQ,11/21/2023,205.75,209.55,203.4,204.2,204.55,-1.1999999999999886,-0.59
185,ARIHANTCAP,EQ,11/21/2023,66.6,67.95,65.6,66.8,67.0,0.4000000000000057,0.6
186,ARIHANTSUP,EQ,11/21/2023,252.45,259.8,250.0,251.6,252.05,-0.39999999999997726,-0.16
188,ARMANFIN,EQ,11/21/2023,2186.8,2261.45,2122.0,2150.9,2161.7,-25.100000000000364,-1.16
190,ARROWGREEN,EQ,11/21/2023,466.8,471.0,452.05,452.65,455.65,-11.150000000000034,-2.45
191,ARSHIYA,EQ,11/21/2023,4.1,4.15,3.9,4.05,4.0,-0.09999999999999964,-2.5
193,ARTEMISMED,EQ,11/21/2023,169.05,171.3,164.5,167.35,165.95,-3.1000000000000227,-1.87
194,ARTNIRMAN,EQ,11/21/2023,48.7,49.8,46.95,48.7,47.95,-0.75,-1.56
195,ARVEE,EQ,11/21/2023,118.75,121.4,116.05,117.55,117.7,-1.0499999999999972,-0.89
196,ARVIND,EQ,11/21/2023,226.95,228.7,218.95,221.25,221.75,-5.199999999999989,-2.34
197,ARVINDFASN,EQ,11/21/2023,412.9,427.7,412.95,421.4,420.05,7.150000000000034,1.7
198,ARVSMART,EQ,11/21/2023,370.0,376.0,366.3,372.0,370.75,0.75,0.2
199,ASAHIINDIA,EQ,11/21/2023,564.55,571.25,561.7,571.25,569.7,5.150000000000091,0.9
200,ASAHISONG,EQ,11/21/2023,289.2,295.0,288.65,288.7,291.15,1.9499999999999886,0.67
201,ASAL,EQ,11/21/2023,398.95,457.7,400.0,449.0,447.85,48.900000000000034,10.92
202,ASALCBR,EQ,11/21/2023,448.1,454.9,446.5,449.5,451.95,3.849999999999966,0.85
204,ASHIANA,EQ,11/21/2023,253.9,261.85,250.15,251.1,251.75,-2.1500000000000057,-0.85
205,ASHIMASYN,EQ,11/21/2023,17.0,17.35,16.5,16.5,16.65,-0.3500000000000014,-2.1
206,ASHOKA,EQ,11/21/2023,141.9,146.2,142.6,144.9,144.75,2.8499999999999943,1.97
207,ASHOKAMET,EQ,11/21/2023,19.95,20.5,19.55,20.0,19.8,-0.14999999999999858,-0.76
208,ASHOKLEY,EQ,11/21/2023,172.15,178.7,172.3,178.6,178.05,5.900000000000006,3.31
