"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
NAUKRI,Info Edge (India) Limited,7(2),Amit Kumar,Employees/Designated Employees,Equity Shares,270,0,,270,1142100,Sell,Equity Shares,Nil,0,29-Aug-23,29-Aug-23,29-Aug-23,Market Sale,-,-,0,0,0,0,NSE,-,31-08-2023 21:04,https://archives.nseindia.com/corporate/xbrl/IT_1151241_925457_31082023090444_WEB.xml
NAUKRI,Info Edge (India) Limited,7(2),Rishi Gupta,Employees/Designated Employees,Equity Shares,2232,0,,1928,8155440,Sell,Equity Shares,304,0,29-Aug-23,29-Aug-23,29-Aug-23,Market Sale,-,-,0,0,0,0,NSE,-,31-08-2023 21:04,https://archives.nseindia.com/corporate/xbrl/IT_1151241_925457_31082023090444_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Ravi Chandru Raheja,Promoters,Equity Shares,1270601,1.16,,50000,35497980,Buy,Equity Shares,1320601,1.2,28-Aug-23,28-Aug-23,29-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Cape Trading LLP,Promoter Group,Equity Shares,13231919,12.04,,22358,15762231,Buy,Equity Shares,13254277,12.06,28-Aug-23,28-Aug-23,29-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Cape Trading LLP,Promoter Group,Equity Shares,13263546,12.07,,17231,12374122,Buy,Equity Shares,13280777,12.09,30-Aug-23,30-Aug-23,31-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Cape Trading LLP,Promoter Group,Equity Shares,13254277,12.06,,9269,6659816,Buy,Equity Shares,13263546,12.07,29-Aug-23,29-Aug-23,31-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Ravi Chandru Raheja,Promoters,Equity Shares,1320601,1.2,,23026,16511081,Buy,Equity Shares,1343627,1.22,29-Aug-23,29-Aug-23,31-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
SHOPERSTOP,Shoppers Stop Limited,7(2),Anbee Constructions LLP,Promoter Group,Equity Shares,13231919,12.04,,50000,35238535,Buy,Equity Shares,13281919,12.09,28-Aug-23,28-Aug-23,29-Aug-23,Market Purchase,-,-,0,0,0,0,NSE,-,31-08-2023 20:15,https://archives.nseindia.com/corporate/xbrl/IT_1151239_925439_31082023081540_WEB.xml
ABCAPITAL,Aditya Birla Capital Limited,7(2),MAHESH RAMESH PATIL,-,Equity Shares,122500,0,,25800,2967000,Buy,Equity Shares,148300,0,25-Aug-23,25-Aug-23,29-Aug-23,ESOP,-,-,0,0,0,0,NA,-,31-08-2023 19:26,https://archives.nseindia.com/corporate/xbrl/IT_1151237_925415_31082023072617_WEB.xml
ABCAPITAL,Aditya Birla Capital Limited,7(2),VIKRAM ADVANI,-,Equity Shares,Nil,0,,7224,830760,Buy,Equity Shares,7224,0,25-Aug-23,25-Aug-23,29-Aug-23,ESOP,-,-,0,0,0,0,NA,-,31-08-2023 19:26,https://archives.nseindia.com/corporate/xbrl/IT_1151237_925415_31082023072617_WEB.xml
