,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,ABB India Limited,ABB,ABB India Limited,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,,
,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Trading - Gas,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas,,
,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Housing Finance Company,Financial Services,Financial Services,Finance,Housing Finance Company,,
,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Precious Metals,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals,,
,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,
,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Hotels & Resorts,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,,
,"Atul Limited.,",ATUL,ATUL LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Household Appliances,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,,
,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,,
